GEO.id,GEO.id2,GEO.display-label,GEO.annotation.id,NAICS.id,NAICS.display-label,NAICS.annotation.id,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
0100000US,,United States,,31-33,Manufacturing,,2009,11051342,1,534261874,161297953,1,64189216,9205664,13046850,74856223,7571032,14842902,293250500,2438427302,1,2156464406,147538857,47723996,40710422,1,744343602,45989621,1,108841968,30820122,4436196105,1,4186666423,248308811,249529682,194732389,17460692,37336601,1978017343,1,499363800,1,178572644,1,148758566,1,172032590,1,536366284,196370417,150541391,189454476,130080571,1,22338796,107741776,2387772,6152027,99201977,117712964,1,30263935,1,20997217,9266718,344719504,1,20633262,2904567,2977977,5027119,5206174,36048319,13434585,12545812,24243345,15989025,205709319
0100000US,,United States,,31-33,Manufacturing,,2008,12748361,1,605557693,178633943,1,64562079,17597686,15625489,80848689,8863950,17780810,343480037,3205798789,1,2841150597,186580065,60234400,62816441,1,877809635,55017287,1,111057052,25190111,5468093135,1,5157732557,315653212,310360577,242301066,18699953,49359559,2266362722,1,545957416,1,200707343,1,154504297,1,190745776,1,540387249,199826568,153123779,187436901,166086112,1,26446669,139639443,3096008,8048473,128494962,117977089,1,31231498,1,21393816,9837682,376100574,1,24022004,3438595,2770044,4380740,5250779,39860987,15621165,13668565,26571713,16278094,224237889
0100000US,,United States,,311,Food manufacturing,,2009,1394190,1,51429282,15094140,1,6170860,815342,1154300,6953638,1091358,2207805,34990404,370067734,1,338697447,18911313,1767517,5358518,1,80952042,5332939,1,5890802,563388,628566115,1,603232912,38294852,25333203,23386873,720040,1226290,258615414,1,41251750,1,22687198,1,3906136,2,14658416,1,40960061,22278509,4002517,14679035,13631824,1,2560492,11071332,336940,551310,10183082,10808196,1,3144631,5,1798732,1345900,37689821,1,2424946,154881,87360,135609,312251,4495773,2257972,2056412,1476516,1533293,22754809
0100000US,,United States,,311,Food manufacturing,,2008,1437197,1,51763614,14568006,1,5552964,1430704,1130791,6453548,1114508,2273594,35055752,403529147,1,369755561,19932038,1840157,6461581,1,87579124,5539811,1,5350152,422968,649905572,1,622419759,46286044,27485813,25102013,849825,1533976,246598252,1,41409631,1,22899949,1,4078370,1,14431311,1,40283347,22097169,3896866,14289312,15677607,1,3207168,12470440,396987,451973,11621479,10118475,1,2796582,1,1555112,1241470,35795535,1,2235388,169945,82780,119417,298628,4130766,2208307,1862631,1358336,1262706,22066632
0100000US,,United States,,3111,Animal food manufacturing,,2009,44805,1,2006374,580138,1,220099,28931,47817,283291,30391,63046,1243619,31687030,1,26698959,4045201,321337,291427,2,5165623,330105,1,,,49754924,1,45576337,2711051,4178587,4115659,11468,51460,18070799,1,2207286,1,947515,1,217006,2,1042765,1,2188802,927636,235813,1025353,729022,2,108453,620569,47592,59294,513683,583855,1,132204,1,63900,68304,1815933,3,80655,6607,5245,5572,19712,226834,60991,97150,82173,83751,1147244
0100000US,,United States,,3111,Animal food manufacturing,,2008,46200,1,2012577,601285,1,211962,60664,50071,278588,31116,65848,1200943,32381601,1,27807949,3498568,285157,399633,10,6625433,390295,17,23,,49590410,1,45166288,2706862,4424122,4173345,14914,235863,17363097,1,2304007,5,1018553,13,241025,2,1044429,2,2025783,857501,218138,950144,1019943,3,220132,799810,43871,36794,719145,538916,5,116451,3,56016,60435,1897124,5,79006,7600,6722,4614,18963,249077,59122,92428,80805,83817,1214969
0100000US,,United States,,31111,Animal food manufacturing,,2009,44805,1,2006374,580138,1,220099,28931,47817,283291,30391,63046,1243619,31687030,1,26698959,4045201,321337,291427,2,5165623,330105,1,,,49754924,1,45576337,2711051,4178587,4115659,11468,51460,18070799,1,2207286,1,947515,1,217006,2,1042765,1,2188802,927636,235813,1025353,729022,2,108453,620569,47592,59294,513683,583855,1,132204,1,63900,68304,1815933,3,80655,6607,5245,5572,19712,226834,60991,97150,82173,83751,1147244
0100000US,,United States,,31111,Animal food manufacturing,,2008,46200,1,2012577,601285,1,211962,60664,50071,278588,31116,65848,1200943,32381601,1,27807949,3498568,285157,399633,10,6625433,390295,17,23,,49590410,1,45166288,2706862,4424122,4173345,14914,235863,17363097,1,2304007,5,1018553,13,241025,2,1044429,2,2025783,857501,218138,950144,1019943,3,220132,799810,43871,36794,719145,538916,5,116451,3,56016,60435,1897124,5,79006,7600,6722,4614,18963,249077,59122,92428,80805,83817,1214969
0100000US,,United States,,311111,Dog and cat food manufacturing,,2009,17107,1,882035,271374,1,99630,13194,24982,133568,12992,27709,620507,9776600,1,7046709,2406548,123015,103395,1,1476139,96934,3,,,19690966,1,,,,,,1772,9893603,1,636315,1,300717,1,24561,4,311038,1,626022,321969,23295,280758,411823,2,64427,347397,22021,34835,290540,216106,1,49581,1,28361,21220,1021200,5,56045,3034,3603,3268,7436,98117,40022,73786,54078,44995,636816
0100000US,,United States,,311111,Dog and cat food manufacturing,,2008,16733,1,812272,270699,1,99283,31389,22467,117560,12877,27568,565889,8708270,1,6614774,1765042,118174,119584,2,1592355,90696,1,,,18582010,1,,,,,,30465,9882757,1,622512,1,317481,1,25036,4,279995,3,598953,312812,22370,263771,312455,3,41714,270741,6146,20520,244075,156258,1,40937,2,25154,15783,790642,4,51185,2628,2981,1783,5998,86983,34943,63861,45780,40621,453880
0100000US,,United States,,311119,Other animal food manufacturing,,2009,27698,1,1124339,308764,2,120469,15737,22835,149723,17399,35337,623112,21910430,1,19652250,1638653,198323,188033,3,3689484,233172,1,,,30063958,1,,,,,,49688,8177196,2,1570971,1,646798,1,192446,2,731727,2,1562780,605667,212519,744594,317199,3,44027,273173,25571,24459,223143,367750,1,82623,2,35540,47083,794732,3,24609,3574,1642,2304,12276,128717,20970,23364,28094,38756,510428
0100000US,,United States,,311119,Other animal food manufacturing,,2008,29466,1,1200306,330586,1,112679,29275,27604,161027,18239,38280,635054,23673331,1,21193175,1733526,166984,280049,14,5033078,299598,22,23,,31008400,1,,,,,,205397,7480340,3,1681494,7,701072,19,215988,2,764434,3,1426830,544689,195769,686373,707488,4,178418,529070,37725,16274,475071,382658,6,75514,4,30862,44652,1106482,8,27822,4973,3741,2831,12964,162094,24179,28567,35025,43196,761089
0100000US,,United States,,3112,Grain and oilseed milling,,2009,51855,1,2813511,960349,1,395801,88069,78681,397799,38476,83029,1903611,55478860,1,51346187,1564077,245867,1340926,1,18587530,981804,1,4637157,323785,86409162,1,84165255,11499134,2243907,2194106,,,31046666,1,5228114,2,2243768,1,312350,7,2671996,5,5315198,2064512,393657,2857029,1376850,1,259729,1117121,13885,26125,1077111,1370504,1,177589,2,97647,79942,2701697,2,108998,14731,7721,12279,20727,566755,238309,94781,123743,149220,1364434
