GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,BENEFIT,BENEFIT_S,BENHEA,BENPEB,BENPEC,BENOTH,EMPAVPW,HOURS,PAYANPW,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTRSL,CSTCNT,CSTFU,CSTFU_S,ELECPCH,CSTELEC,CSTELEC_S,ELECGEN,ELECSLD,RCPTOT,RCPTOT_S,RCPTPLM,RCPTRAN,MSCTOT,MSCRSLTT,MSCCNTTT,MSCOTH,VALADD,VALADD_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,INVTOTB,INVFINB,INVWIPB,INVMATB,CEXTOT,CEXTOT_S,CEXBLD,CEXMCH,CEXMCHA,CEXMCHC,CEXMCHO,DPRTOT,DPRTOT_S,RPTOT,RPTOT_S,RPBLD,RPMCH,PCHTT,PCHTT_S,PCHTEMP,PCHCMPQ,PCHEXSO,PCHDAPR,PCHCSVC,PCHRPR,PCHRFUS,PCHADVT,PCHPRTE,PCHTAX,PCHOEXP
Geographic identifier code,Id2,Geographic area name,2007 NAICS codes and NAICS-based rollup code,Meaning of 2007 NAICS codes and NAICS-based rollup code,Year,Number of employees,Relative standard error of total number of employees (%),"Annual payroll ($1,000)","Total fringe benefits ($1,000)",Relative standard error of total fringe benefits (%),"Employer's cost for health insurance ($1,000)","Employer's cost for defined benefit pension plans ($1,000)","Employer's cost for defined contribution plans ($1,000)","Employer's cost for other fringe benefits ($1,000)",Production workers avg per year,"Production workers hours (1,000)","Production workers wages ($1,000)","Total cost of materials ($1,000)",Relative standard error of total cost of materials (%),"Materials, parts, containers, packaging, etc. used ($1,000)","Cost of resales ($1,000)","Contract work ($1,000)","Cost of purchased fuels ($1,000)",Relative standard error of cost of purchased fuels (%),"Quantity of electricity purchased for heat and power (1,000 kWh)","Purchased electricity ($1,000)",Relative standard error of purchased electricity (%),"Quantity of generated electricity (1,000 kWh)","Quantity of electricity sold or transferred (1,000 kWh)","Total value of shipments ($1,000)",Relative standard error of total value of shipments (%),"Value of products shipments ($1,000)","Value of interplant transfers ($1,000)","Total miscellaneous receipts ($1,000)","Value of resales ($1,000)","Contract receipts ($1,000)","Other miscellaneous receipts ($1,000)","Value added ($1,000)",Relative standard error of value added (%),"Total inventories, end of year ($1,000)","Relative standard error of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error of finished goods inventories, end of year (%)","Work-in-process inventories, end-of-year  ($1,000)","Relative standard error of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error of materials and supplies inventories, end of year (%)","Total inventories, beginning of year ($1,000)","Finished goods inventories, beginning of year ($1,000)","Work-in-process inventories, beginning of year ($1,000)","Materials and supplies inventories, beginning of year ($1,000)","Total capital expenditures (new and used) ($1,000)",Relative standard error of total capital expenditures (new and used) (%),"Capital expenditures on buildings and other structures (new and used) ($1,000)","Capital expenditures on machinery and equipment (new and used) ($1,000)","Capital expenditures on automobiles, trucks, etc. for highway use ($1,000)","Capital expenditures on computers and peripheral data processing equipment ($1,000)","Capital expenditures on all other machinery and equipment ($1,000)","Total depreciation ($1,000)",Relative standard error of total depreciation (%),"Total rental payments ($1,000)",Relative standard error of total rental payments (%),"Rental payments for buildings and other structures ($1,000)","Rental payments for machinery and equipment ($1,000)","Total other expenses ($1,000)",Relative standard error of total other expenses (%),"Temporary staff and leased employee expenses ($1,000)","Expensed computer hardware and other equipment ($1,000)","Expensed purchases of software ($1,000)","Data processing and other purchased computer services ($1,000)","Communication services ($1,000)","Repair and maintenance services of buildings and/or machinery ($1,000)","Refuse removal (including hazardous waste) services ($1,000)","Advertising and promotional services ($1,000)","Purchased professional and technical services ($1,000)","Taxes and license fees ($1,000)","All other expenses ($1,000)"
0100000US,,United States,311111,Dog and cat food manufacturing,2009,17107,1,882035,271374,1,99630,13194,24982,133568,12992,27709,620507,9776600,1,7046709,2406548,123015,103395,1,1476139,96934,3,S,S,19690966,1,D,D,D,D,D,1772,9893603,1,636315,1,300717,1,24561,4,311038,1,626022,321969,23295,280758,411823,2,64427,347397,22021,34835,290540,216106,1,49581,1,28361,21220,1021200,5,56045,3034,3603,3268,7436,98117,40022,73786,54078,44995,636816
0100000US,,United States,311119,Other animal food manufacturing,2009,27698,1,1124339,308764,2,120469,15737,22835,149723,17399,35337,623112,21910430,1,19652250,1638653,198323,188033,3,3689484,233172,1,S,S,30063958,1,D,D,D,D,D,49688,8177196,2,1570971,1,646798,1,192446,2,731727,2,1562780,605667,212519,744594,317199,3,44027,273173,25571,24459,223143,367750,1,82623,2,35540,47083,794732,3,24609,3574,1642,2304,12276,128717,20970,23364,28094,38756,510428
0100000US,,United States,31121M,Flour milling and malt manufacturing,2009,14692,1,703948,224387,1,91120,19020,20461,93786,10901,24152,457669,12410367,1,11611128,375719,22542,99994,2,5079780,300985,1,D,S,17207056,2,16759507,615812,447549,417177,D,D,4790484,6,1925353,7,517415,2,147251,15,1260688,10,2033470,478691,188196,1366583,324103,5,70817,253286,5858,7212,240215,246164,2,52225,2,31962,20264,660091,5,35364,2576,1616,2154,5939,109695,24392,8875,25846,41375,402259
0100000US,,United States,311221,Wet corn milling,2009,8455,1,535226,172867,2,63021,25911,13895,70040,5290,11547,317262,8283238,1,6466403,583048,87484,812520,1,6958248,333782,1,3921437,D,16045644,1,D,283720,D,D,S,D,7753443,1,666156,1,322807,1,42744,1,300606,2,677362,332436,45080,299846,461563,1,76385,385178,3187,5969,376022,460623,1,49080,5,30614,18466,853078,1,19333,5914,2155,1361,3400,229261,127729,2714,42004,38027,381181
0100000US,,United States,311225,Fats and oils refining and blending,2009,8409,5,425040,133677,4,55913,12888,9585,55290,6295,13500,277030,10574338,1,9980173,348170,86750(s),90559,1,1072495,68686,2,D,D,14017490,1,13622262,1284112,395228,391516,D,D,3384861,2,677095,2,327761,2,58209,1,291124,2,834965,354637,93049,387279,140568,3,30465,110104,1062,5409,103633,129496,2,28221,5,13128,15093,386527,10,14654,1924,1034,955,2940,85916,33636,7615(s),17015,17228,203612
0100000US,,United States,31122N,Soybean and other oilseed processing,2009,7341,4,364472,126831,6,51376,16924,11269,47261,5428,11496,235559,20662785,1,19968616,219778,30862,253844,1,3946930,189685,1,D,D,27566471,1,D,9010723,D,D,D,6266,7129485,1,1572559,1,923699,1,44878,1,603983,4,1373668,714085,48679,610904,222604,3,41140,181464,726,2858,177880,237710,3,30909,1,10659,20250,318871,1,7120,1424,D,1443,3400,67191,29240,D,12616,22978,171432
0100000US,,United States,311230,Breakfast cereal manufacturing,2009,12958,3,784826,302588,1,134371,13325,23470,131421,10561,22334,616091,3548133,1,3319866,37361,18230,84010,1,1530077,88666,1,S,D,11572501,1,11492472,304767,80028,72823,S,7205,7988393,1,386950,1,152087,1,19269,2,215595,1,395733,184663,18653,192418,228012,3,40922,187090,3052,4677,179361,296511,1,17155,3,11285,5870,483130,6,32527,2893,D,6367,5048,74692,23312,D,26262,29613,205949
0100000US,,United States,311313,Beet sugar manufacturing,2009,6036,1,270962,95367,1,25704,11432,7227,51004,5330,11124,217129,1771043,1,1524010,41148,670,166339,1,651476,38876,1,479233,D,3197554,1,3153564,D,43990,D,S,D,1399677,1,801034,1,437416,1,D,S,D,S,752941,480483,D,D,76158,1,6027,70131,D,D,67781,100345,1,21217,1,2059,19158,358366,1,D,71,D,189,1230,3852,D,D,D,14035,14071
0100000US,,United States,31131N,Sugar cane mills and refining,2009,6767,1,335000,119759,1,42220,5310,12483,59747,5009,11069,225194,2892586,1,2692262,45207,25082,100256,1,428820,29780,4,282479,D,4412919,2,4361649,D,51270,D,S,D,1522543,5,708740,2,445289,4,D,S,D,S,662911,452999,D,D,251121,2,25384,225736,D,D,212394,159774,1,35448,2,15984,19464,900861,1,D,D,D,1128,7004,338220,D,D,D,159884,304071
