GEO.id,GEO.id2,GEO.display-label,NAICS.id,NAICS.display-label,YEAR.id,EMP,EMP_S,PAYANN,PAYANN_S,BENEFIT,BENEFIT_S,BENHEA,BENHEA_S,BENPEB,BENPEB_S,BENPEC,BENPEC_S,BENOTH,BENOTH_S,EMPAVPW,EMPAVPW_S,HOURS,HOURS_S,PAYANPW,PAYANPW_S,CSTMTOT,CSTMTOT_S,CSTMPRT,CSTMPRT_S,CSTRSL,CSTRSL_S,CSTFU,CSTFU_S,CSTELEC,CSTELEC_S,CSTCNT,CSTCNT_S,ELECPCH,ELECPCH_S,ELECGEN,ELECGEN_S,ELECSLD,ELECSLD_S,RCPTOT,RCPTOT_S,RCPTPLM,RCPTPLM_S,RCPTRAN,RCPTRAN_S,MSCTOT,MSCTOT_S,MSCRSLTT,MSCRSLTT_S,MSCCNTTT,MSCCNTTT_S,MSCOTH,MSCOTH_S,VALADD,VALADD_S,INVTOTB,INVTOTB_S,INVFINB,INVFINB_S,INVWIPB,INVWIPB_S,INVMATB,INVMATB_S,INVTOTE,INVTOTE_S,INVFINE,INVFINE_S,INVWIPE,INVWIPE_S,INVMATE,INVMATE_S,CEXTOT,CEXTOT_S,CEXBLD,CEXBLD_S,CEXMCH,CEXMCH_S,CEXMCHA,CEXMCHA_S,CEXMCHC,CEXMCHC_S,CEXMCHO,CEXMCHO_S,RPTOT,RPTOT_S,RPBLD,RPBLD_S,RPMCH,RPMCH_S,PCHTT,PCHTT_S,PCHTEMP,PCHTEMP_S,PCHCMPQ,PCHCMPQ_S,PCHEXSO,PCHEXSO_S,PCHDAPR,PCHDAPR_S,PCHCSVC,PCHCSVC_S,PCHRPR,PCHRPR_S,PCHRFUS,PCHRFUS_S,PCHADVT,PCHADVT_S,PCHPRTE,PCHPRTE_S,PCHTAX,PCHTAX_S,PCHOEXP,PCHOEXP_S
Geographic identifier code,Id2,Geographic area name,2012 NAICS code,Meaning of 2012 NAICS code,Year,Number of employees,Relative standard error for estimate of number of employees (%),"Annual payroll ($1,000)",Relative standard error for estimate of annual payroll (%),"Total fringe benefits ($1,000)",Relative standard error for estimate of total fringe benefits (%),"Employer's cost for health insurance ($1,000)",Relative standard error for estimate of employer's cost for health insurance (%),"Employer's cost for defined benefit pension plans ($1,000)",Relative standard error for estimate of employer's cost for defined benefit pension plans (%),"Employer's cost for defined contribution plans ($1,000)",Relative standard error for estimate of employer's cost for defined contribution plans (%),"Employer's cost for other fringe benefits ($1,000)",Relative standard error for estimate of employer's cost for other fringe benefits (%),Production workers average for year,Relative standard error for estimate of production workers average for year (%),"Production workers annual hours (1,000)",Relative standard error for estimate of production workers annual hours (%),"Production workers annual wages ($1,000)",Relative standard error for estimate of production workers annual wages (%),"Total cost of materials ($1,000)",Relative standard error for estimate of total cost of materials (%),"Cost of materials, parts, containers, packaging, etc. used ($1,000)","Relative standard error for estimate of cost of materials, parts, containers, packaging, etc. used  (%)","Cost of resales ($1,000)",Relative standard error for estimate of cost of resales (%),"Cost of purchased fuels consumed ($1,000)",Relative standard error for estimate of cost of purchased fuels (%),"Cost of purchased electricity ($1,000)",Relative standard error for estimate of cost of purchased electricity (%),"Cost of contract work ($1,000)",Relative standard error for estimate of cost of contract work (%),"Quantity of electricity purchased for heat and power (1,000 kWh)",Relative standard error for estimate of quantity of electricity purchased for heat and power (%),"Quantity of generated electricity (1,000 kWh)",Relative standard error for estimate of quantity of generated electricity (%),"Quantity of electricity sold or transferred (1,000 kWh)",Relative standard error for estimate of quantity of electricity sold or transferred (%),"Total value of shipments and receipts for services ($1,000)",Relative standard error for estimate of total value of shipments and receipts for services (%),"Value of primary and secondary product shipments and receipts for services made in industry ($1,000)",Relative standard error for estimate of value of primary and secondary product shipments and receipts for services made in industry (%),"Value of interplant transfers for shipments and receipts for services ($1,000)",Relative standard error for estimate of value of interplant transfers for shipments and receipts for services (%),"Total miscellaneous receipts ($1,000)",Relative standard error for estimate of total miscellaneous receipts (%),"Value of resales ($1,000)",Relative standard error for estimate of value of resales (%),"Contract receipts ($1,000)",Relative standard error for estimate of contract receipts (%),"Other miscellaneous receipts ($1,000)",Relative standard error for estimate of other miscellaneous receipts (%),"Value added ($1,000)",Relative standard error for estimate of value added (%),"Total inventories, beginning of year ($1,000)","Relative standard error for estimate of total inventories, beginning of year (%)","Finished goods inventories, beginning of year ($1,000)","Relative standard error for estimate of finished goods inventories, beginning of year (%)","Work-in-process inventories, beginning of year ($1,000)","Relative standard error for estimate of work-in-process inventories, beginning of year (%)","Materials and supplies inventories, beginning of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, beginning of year (%)","Total inventories, end of year ($1,000)","Relative standard error for estimate of total inventories, end of year (%)","Finished goods inventories, end of year ($1,000)","Relative standard error for estimate of finished goods inventories, end of year (%)","Work-in-process inventories, end of year ($1,000)","Relative standard error for estimate of work-in-process inventories, end of year (%)","Materials and supplies inventories, end of year ($1,000)","Relative standard error for estimate of materials and supplies inventories, end of year (%)","Total capital expenditures ($1,000)",Relative standard error for estimate of total capital expenditures (%),"Capital expenditures for buildings and other structures ($1,000)",Relative standard error for estimate of capital expenditures for buildings and other structures (%),"Capital expenditures for machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for machinery and equipment (%),"Capital expenditures for automobiles, trucks, etc. for highway use ($1,000)","Relative standard error for estimate of capital expenditures for automobiles, trucks, etc. for highway use (%)","Capital expenditures for computers and peripheral data processing equipment ($1,000)",Relative standard error for estimate of capital expenditures for computers and peripheral data processing equipment (%),"Capital expenditures for all other machinery and equipment ($1,000)",Relative standard error for estimate of capital expenditures for all other machinery and equipment (%),"Total rental payments or lease payments ($1,000)",Relative standard error for estimate of total rental payments or lease payments (%),"Rental payments or lease payments for buildings and other structures ($1,000)",Relative standard error for estimate of rental payments or lease payments for buildings and other structures (%),"Rental payments or lease payments for machinery and equipment rentals ($1,000)",Relative standard error for estimate of rental payments or lease payments for machinery and equipment rentals (%),"Total other operating expenses ($1,000)",Relative standard error for estimate of total other operating expenses (%),"Temporary staff and leased employee expenses ($1,000)",Relative standard error for estimate of temporary staff and leased employee expenses (%),"Expensed computer hardware and other equipment ($1,000)",Relative standard error for estimate of expensed computer hardware and other equipment (%),"Expensed purchases of software ($1,000)",Relative standard error for estimate of expensed purchases of software (%),"Data processing and other purchased computer services ($1,000)",Relative standard error for estimate of data processing and other purchased computer services (%),"Communication services ($1,000)",Relative standard error for estimate of communication services (%),"Repair and maintenance services of buildings and/or machinery ($1,000)",Relative standard error for estimate of repair and maintenance services of buildings and/or machinery (%),"Refuse removal (including hazardous waste) services ($1,000)",Relative standard error for estimate of refuse removal (including hazardous waste) services (%),"Advertising and promotional services ($1,000)",Relative standard error for estimate of advertising and promotional services (%),"Purchased professional and technical services ($1,000)",Relative standard error for estimate of purchased professional and technical services (%),"Taxes and license fees ($1,000)",Relative standard error for estimate of taxes and license fees (%),"All other operating expenses ($1,000)",Relative standard error for estimate of all other operating expenses (%)
0100000US,,United States,31-33,Manufacturing,2014,10998862,0.1,616964064,0.1,183790160,0.1,75347805,0.1,14023996,0.2,18407818,0.2,76010542,0.1,7729203,0.1,15824594,0.1,350741168,0.1,3505622153,0.1,3179794546,0.1,174752071,0.5,41301736,0.1,54017475,0.1,55756325,0.3,806243393,0.1,113065219,0.1,31919512,0.1,5887555731,0.1,5606556071,0.1,433242615,0.0,280999661,0.4,221010511,0.5,22240699,2.1,37748451,0.7,2387163183,0.1,611877025,0.1,216677349,0.2,187148587,0.2,208051089,0.2,624490958,0.1,216979589,0.2,192389034,0.3,215122335,0.1,173849747,0.4,35278308,0.8,138571439,0.4,3401225,1.2,5080171,1.4,130090042,0.3,35947445,0.3,24628438,0.3,11319007,0.4,397210057,0.2,34556889,0.7,4284613,0.9,3361139,0.8,6162930,0.3,4749064,0.6,47850176,0.2,14313116,0.2,17570840,0.4,32258038,0.3,18336283,0.3,213766968,0.3
0100000US,,United States,311,Food manufacturing,2014,1368487,0.4,57360213,0.3,16927069,0.3,7375234,0.4,1102227,0.6,1281095,0.7,7168513,0.3,1084441,0.4,2227959,0.4,39284093,0.3,519958544,0.2,484529044,0.2,23215810,1.0,4365016,0.3,5695236,0.3,2153439,0.9,76314877,0.3,3479949,0.9,269253,0.3,793831101,0.2,764462578,0.2,52732624,0.0,29368523,1.0,27044923,1.0,1317842,6.0,1005758,5.8,274505329,0.3,51675327,0.4,27854745,0.6,5424272,1.3,18396309,0.6,53170759,0.3,27992302,0.4,5878232,1.0,19300225,0.6,17141681,1.7,4189979,6.1,12951702,0.8,329129,5.3,390515,1.1,12232058,0.8,3721486,1.0,2176014,1.3,1545473,1.9,42709873,0.7,3678393,1.9,198387,2.2,103643,2.2,184160,1.4,289543,0.9,5195555,0.8,2393986,0.8,4423741,0.7,2077281,1.0,1592336,1.3,22572848,0.8
0100000US,,United States,3111,Animal food manufacturing,2014,43949,0.8,2327645,0.9,671585,1.9,290529,1.3,42342,2.3,68317,4.5,270398,2.8,30124,0.8,66468,1.1,1428168,0.7,42512265,0.7,37614109,0.8,4071883,1.3,234347,2.6,311360,2.3,280566,1.7,4089997,3.9,0,X,0,X,59350787,0.7,54992111,0.7,2941853,0.0,4358676,1.4,4227899,1.4,10665(s),65.0(s),120112,9.1,16877886,1.1,3005719,2.7,1273226,2.7,249372,11.2,1483121,4.4,2971054,2.9,1282537,2.3,279425,4.2,1409092,4.9,1343786,20.1,516973(s),48.4(s),826812,3.6,64648,26.0,17642,1.3,744522,3.1,177380,3.9,87493,8.3,89887,3.0,2242738,3.1,155170,5.5,13254,5.0,5960,2.9,7156,4.4,21073,2.5,329950,3.8,70287,5.5,122583,2.4,106818,5.1,94054,2.7,1316434,3.3
0100000US,,United States,31111,Animal food manufacturing,2014,43949,0.8,2327645,0.9,671585,1.9,290529,1.3,42342,2.3,68317,4.5,270398,2.8,30124,0.8,66468,1.1,1428168,0.7,42512265,0.7,37614109,0.8,4071883,1.3,234347,2.6,311360,2.3,280566,1.7,4089997,3.9,0,X,0,X,59350787,0.7,54992111,0.7,2941853,0.0,4358676,1.4,4227899,1.4,10665(s),65.0(s),120112,9.1,16877886,1.1,3005719,2.7,1273226,2.7,249372,11.2,1483121,4.4,2971054,2.9,1282537,2.3,279425,4.2,1409092,4.9,1343786,20.1,516973(s),48.4(s),826812,3.6,64648,26.0,17642,1.3,744522,3.1,177380,3.9,87493,8.3,89887,3.0,2242738,3.1,155170,5.5,13254,5.0,5960,2.9,7156,4.4,21073,2.5,329950,3.8,70287,5.5,122583,2.4,106818,5.1,94054,2.7,1316434,3.3
0100000US,,United States,311111,Dog and cat food manufacturing,2014,17856,1.8,1015421,1.8,313278,3.9,131582,2.5,22734,0.6,34761,8.6,124201,6.1,13232,1.3,30393,2.3,701250,1.1,13460829,1.6,10495840,1.9,2607623,0.7,82159,3.7,107049,4.0,168158,0.1,1392599,3.2,0,X,0,X,23838996,1.4,21187930,1.5,D,D,2651066,0.9,2630541,0.8,D,D,D,D,10395039,1.5,961325,8.2,531953,5.0,32134,6.5,397238,15.1,953031,8.3,552461,2.0,28499,14.5,372071,18.1,623618,3.7,126823,1.4,496796,4.3,2813,1.7,11457,0.6,482527,4.4,61514,8.4,21937,29.1,39578,4.5,1078305,5.7,94696,7.2,4725,11.8,2885,1.9,2666,3.1,8230,4.7,146450,6.1,35400,10.5,92254,1.1,59672,3.9,45485,4.0,585842,6.6
0100000US,,United States,311119,Other animal food manufacturing,2014,26092,0.6,1312224,0.6,358307,0.8,158947,1.0,19608,4.9,33556,2.3,146197,0.7,16892,1.1,36075,0.8,726918,0.9,29051436,0.8,27118269,0.8,1464260,3.4,152188,3.4,204311,2.8,112408,4.4,2697398,5.7,0,X,0,X,35511791,0.7,33804181,0.7,D,D,1707610,3.3,1597359,3.5,D,D,D,D,6482847,1.7,2044394,1.2,741273,2.9,217238,12.9,1085883,2.3,2018023,1.8,730076,3.7,250926,4.3,1037020,1.7,720167,37.5,390151(s),64.1(s),330016,6.4,61835,27.2,6185,3.5,261996,3.2,115866,3.9,65557,5.4,50309,4.0,1164433,2.8,60474,8.3,8529,4.2,3075,5.3,4489,6.8,12843,2.8,183500,4.7,34886,3.5,30329,8.9,47146,10.5,48569,3.7,730592,2.8
0100000US,,United States,3112,Grain and oilseed milling,2014,52798,0.6,3115672,0.5,1020618,0.7,458862,1.4,118578,0.9,83724,2.9,359453,0.4,38404,0.7,82336,0.6,2092774,0.4,72774363,0.2,64684889,0.2,5845798,0.3,1052423,0.1,914685,0.6,276569,0.3,14806203,0.5,2258199,0.0,138548,0.0,98023252,0.2,91898822,0.2,16796303,0.0,6124430,0.9,5931061,0.3,119120,26.2,74248(s),55.9(s),24960623,0.3,6655001,0.9,2855629,1.8,397566,5.0,3401807,0.7,6288786,0.5,2545344,0.8,419586,5.1,3323856,0.7,1461091,1.6,340689,3.0,1120402,1.6,16289,2.5,29519,1.0,1074594,1.7,224043,3.9,93724,1.7,130319,6.6,3141130,1.7,113530,3.9,15266,2.2,7179,1.6,22446,0.5,20457,2.2,654639,1.6,253663,0.5,288178,0.3,139881,1.8,157710,1.9,1468182,2.7
0100000US,,United States,31121,Flour milling and malt manufacturing,2014,18187,1.1,955361,1.1,292082,1.0,130977,2.0,26407,3.3,25042,1.5,109657,0.8,13033,0.9,28324,0.7,605148,0.6,14132597,0.8,13434126,0.8,D,D,84678,0.5,239846,0.7,D,D,3407851,1.1,D,D,D,D,21481850,0.5,21080400,0.5,D,D,401450,10.6,339346,2.8,9318,0.5,52786(s),78.5(s),7382104,0.8,2068303,2.6,635998,7.8,134731,10.9,1297574,1.7,1970151,1.2,650945,3.0,152635,12.7,1166570,1.7,507902,3.0,124368,2.0,383534,3.4,5338,5.5,5316,5.0,372880,3.4,67116,12.8,28347,2.6,38769,22.1,829410,5.3,37807,6.3,4011,6.0,1560,2.3,4333,2.1,6740,3.3,146191,3.4,29552,1.7,28623,2.9,35678,6.9,49296,2.1,485621,7.3
0100000US,,United States,311211,Flour milling,2014,12483,0.7,679885,0.7,205375,0.4,92411,0.6,15381,1.4,17863,0.5,79720,0.5,8671,0.4,19257,0.6,427416,0.4,10520088,0.3,10072397,0.3,186096,1.2,41673,0.9,176108,0.5,43814,0.3,2444547,0.4,D,D,D,D,15985888,0.3,15739419,0.3,1834184,0.0,246469,16.8,D,D,D,D,50288(s),82.4(s),5482121,0.6,1284500,1.1,306699,2.8,51824,28.1,925976,2.2,1230267,1.3,312273,3.1,62572,31.0,855422,2.3,364564,4.0,97657,2.5,266907,4.7,3270,8.6,2833,9.3,260804,4.7,51343,16.7,17776,0.7,33567,25.5,547446,7.8,17971,1.4,3049,7.5,989,2.5,3902,2.2,4664,3.8,92503,4.5,10042,3.8,7555,1.2,25992,9.4,33129,2.6,347651,10.2
